measure_id,family,definition_file,definition_lines,library_entrypoint,output_artifact,k_resolved,n_patients_actual,cohort,fc_method,last_modified,status,supersedes,superseded_by,notes
H1_VI_task_stability,VI,scripts/01_compute/hypothesis_tests/h1_task_stability.py,n/a,lrg_eegfc.utils.metrics.hypothesis.wilcoxon_z,data/reports/imcoh_vi/h1_task_stability.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-24,current,,,VI(task_learn vs task_test) within-task stability; passes 6/6 bands at n=9
H2a_partition_VI,partition,scripts/01_compute/hypothesis_tests/h2_partition_multiscale.py,83-106,lrg_eegfc.utils.metrics.vi.compute_vi,data/reports/imcoh_vi/h2_partition_multiscale_raw.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Δ_VI(k) = VI(rpre rpost) − VI(tt rpost); HEADLINE H2a metric at n=10. ≥8/10 cohort runs: δ k=20-32 (L=13 incl 10/10 at k=28); α k=20-26 (L=7); β k=6-7; γ_h k=21-23 + k=30-35. n=9 demotion was scalar-aggregate-gate artefact.
H2a_partition_ARI,partition,scripts/01_compute/hypothesis_tests/h2_partition_multiscale.py,83-106,sklearn.metrics.adjusted_rand_score,data/reports/imcoh_vi/h2_partition_multiscale_raw.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-25,scope-only,,,Δ_ARI(k) — CSV column retained but EXCLUDED from publication figures per feedback_no_ari_in_figures.md (2026-04-26 user decision)
H2a_partition_H,partition,scripts/01_compute/hypothesis_tests/h2_partition_multiscale.py,83-106,lrg_eegfc.utils.metrics.vi.conditional_entropy,data/reports/imcoh_vi/h2_partition_multiscale_raw.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Δ_H(k) directional cond-H. ≥8/10 cohort runs: δ k=19-28 (L=10); α k=4; β scattered (k=3 6 19 21-22); γ_h k=10 14 16 19 22 + 40-43. Triangulates δ with Δ_VI.
H2a_partition_NMI,partition,scripts/01_compute/hypothesis_tests/h2_partition_multiscale.py,83-106,sklearn.metrics.normalized_mutual_info_score,data/reports/imcoh_vi/h2_partition_multiscale_raw.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Δ_NMI(k). ≥8/10 cohort runs: δ k=22-32 (L=11); α k=22-25 (L=4); β k=7; γ_h k=10-11 13 21-22 31. Triangulates δ with Δ_VI and Δ_H.
H2a_prime_conditional_entropy,partition,scripts/01_compute/hypothesis_tests/h2a_prime_conditional_entropy.py,n/a,lrg_eegfc.utils.metrics.vi.conditional_entropy,data/reports/imcoh_vi/h2a_prime_conditional_entropy.csv,no,9,COHORT_N9,imcoh_abs,2026-04-24,stale-numeric,,,n=9 era; needs Pat_14 backfill; θ goes upward (anti-trace) at n=9
H2b_within_task_to_post,VI,scripts/01_compute/hypothesis_tests/h2b_within_task_to_post.py,n/a,lrg_eegfc.utils.metrics.vi.compute_vi,data/reports/imcoh_vi/h2b_within_task_to_post.csv,yes,9,COHORT_N9,imcoh_abs,2026-04-24,stale-numeric,,,Δ = VI(rpre tt) − VI(tt rpost); n=9 era; needs Pat_14 backfill
H2c_ultrametric_drift,ultrametric,scripts/01_compute/hypothesis_tests/h2c_ultrametric_drift.py,n/a,scipy.stats.spearmanr,data/reports/imcoh_vi/h2c_ultrametric_drift.csv,no,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Spearman ρ on cophenetic distance directional drift; passes 6/6 bands at n=10 (delta ρ=0.477)
H2c_raw,ultrametric,scripts/01_compute/hypothesis_tests/h2c_ultrametric_drift.py,n/a,scipy.stats.spearmanr,data/reports/imcoh_vi/h2c_ultrametric_drift_raw.csv,no,10,COHORT_N10,imcoh_abs,2026-04-26,current,,,Long-format per-(patient band) ρ; underlies H2c summary
H2d_coactivation_persistence,persistence,scripts/01_compute/hypothesis_tests/h2d_coactivation_persistence.py,n/a,lrg_eegfc.utils.metrics.hypothesis.wilcoxon_z,data/reports/imcoh_vi/h2d_coactivation_persistence.csv,yes,10,COHORT_N10,imcoh_abs,2026-04-25,current,,,Δρ(k) block-pair coactivation persistence; passes 6/6 bands at n=10 (delta Δρ=0.228)
